,nome,cpf,idade,data,endereco,estado,pais
0,Dra. Manuella Novais,980.263.541-33,51,23/09/72,"Vila de Caldeira, 1
Alto Barroca
33636-547 Sá / RR",Bahia,Brasil
1,Bruno Fonseca,983.142.705-04,52,31/03/72,"Lagoa de Novais, 49
Barroca
98014188 Cirino / PB",Distrito Federal,Brasil
2,José Andrade,801.356.247-62,30,11/03/94,"Sítio de Martins
Vila União
39272-871 Rocha da Mata / AM",Ceará,Brasil
3,Vitor Gabriel Dias,826.341.957-37,38,18/04/86,"Vereda João Barbosa, 52
Alto Caiçaras
50613-763 Jesus / DF",Mato Grosso do Sul,Brasil
4,Srta. Laura Pimenta,745.930.268-65,22,05/10/01,"Viaduto Maria Laura Rezende, 28
Prado
24674845 Mendonça de Porto / MS",Rio Grande do Norte,Brasil
5,Maysa Vargas,327.941.685-09,60,13/05/64,"Esplanada de Duarte, 78
Vila Barragem Santa Lúcia
24590-893 Brito / AC",São Paulo,Brasil
6,Natália Novais,572.980.346-00,49,12/08/74,"Travessa Stephany Peixoto, 7
Santo Antônio
35312882 Correia / SE",Mato Grosso,Brasil
7,Anthony Machado,067.184.295-11,38,08/03/86,"Lagoa de Siqueira, 7
Jardim São José
53505-486 da Rosa de Goiás / MS",Alagoas,Brasil
8,Vitor Hugo Gomes,612.493.058-70,23,14/04/01,"Setor de Sampaio, 795
Santa Cecilia
31978559 Gomes da Serra / RJ",Minas Gerais,Brasil
9,Isis Pires,632.790.584-65,37,10/07/87,"Morro Abreu, 98
São João
27294422 Araújo de Correia / RN",Goiás,Brasil
